Time,CPU Usage %,Temperature (C)
2023-03-19 00:01:48.227151,2.8,0
2023-03-19 00:01:58.487893,2.7,0
2023-03-19 00:02:08.757126,2.8,0
2023-03-19 00:02:18.962948,2.8,0
2023-03-19 00:02:29.129354,2.7,0
2023-03-19 00:02:39.303586,2.5,0
2023-03-19 00:02:49.463664,1,0
2023-03-19 00:02:59.655861,2.6,0
2023-03-19 00:03:09.902255,2.8,0
2023-03-19 00:03:20.114743,2.7,0
2023-03-19 00:03:30.325877,2.9,0
2023-03-19 00:03:40.513350,2.9,0
2023-03-19 00:03:50.752338,2.5,0
2023-03-19 00:04:00.938011,1.4,0
2023-03-19 00:04:11.122248,1.9,0
2023-03-19 00:04:21.337597,3,0
2023-03-19 00:04:31.547018,2.8,0
2023-03-19 00:04:41.749117,2.7,0
2023-03-19 00:04:51.911647,2.7,0
2023-03-19 00:05:02.098229,2.5,0
2023-03-19 00:05:12.346786,2.2,0
2023-03-19 00:05:22.522546,1,0
2023-03-19 00:05:32.730494,2.8,0
2023-03-19 00:05:43.085257,2.7,0
2023-03-19 00:05:53.283684,2.9,0
2023-03-19 00:06:03.499539,2.7,0
2023-03-19 00:06:13.661049,2.6,0
2023-03-19 00:06:23.866541,2.6,0
2023-03-19 00:06:34.059575,1.5,0
2023-03-19 00:06:44.227922,2,0
2023-03-19 00:06:54.417837,2.7,0
2023-03-19 00:07:04.619659,2.7,0
2023-03-19 00:07:14.819877,3.4,0
2023-03-19 00:07:25.002902,2.5,0
2023-03-19 00:07:35.182998,2.5,0
2023-03-19 00:07:45.375738,2,0
2023-03-19 00:07:55.577065,0.8,0
2023-03-19 00:08:05.796808,2.4,0
2023-03-19 00:08:16.083807,2.4,0
2023-03-19 00:08:26.291908,2.4,0
2023-03-19 00:08:36.504959,2.5,0
2023-03-19 00:08:46.696370,2.4,0
2023-03-19 00:08:56.879265,2.3,0
2023-03-19 00:09:07.072316,1.2,0
2023-03-19 00:09:17.263431,1.7,0
2023-03-19 00:09:27.485778,3.4,0
2023-03-19 00:09:37.686844,2.7,0
2023-03-19 00:09:47.894034,2.4,0
2023-03-19 00:09:58.106574,2.5,0
2023-03-19 00:10:08.302796,2.4,0
2023-03-19 00:10:18.487572,1.9,0
2023-03-19 00:10:28.700397,0.7,0
2023-03-19 00:10:38.916503,2.8,0
2023-03-19 00:10:49.116242,2.4,0
2023-03-19 00:10:59.339783,2.5,0
2023-03-19 00:11:09.607720,2.4,0
2023-03-19 00:11:19.777134,2.4,0
2023-03-19 00:11:29.953615,2.3,0
2023-03-19 00:11:40.116285,1.1,0
2023-03-19 00:11:50.288464,1.7,0
2023-03-19 00:12:00.476739,2.6,0
2023-03-19 00:12:10.695089,2.5,0
2023-03-19 00:12:20.888920,2.4,0
2023-03-19 00:12:31.090783,2.6,0
2023-03-19 00:12:41.324966,2.5,0
2023-03-19 00:12:51.494866,2.2,0
2023-03-19 00:13:01.675044,1.1,0
2023-03-19 00:13:11.891890,2.5,0
2023-03-19 00:13:22.098535,2.4,0
2023-03-19 00:13:32.315014,2.6,0
2023-03-19 00:13:42.552363,2.6,0
2023-03-19 00:13:52.722576,2.4,0
2023-03-19 00:14:02.895556,2.3,0
2023-03-19 00:14:13.151726,0.9,0
2023-03-19 00:14:23.342637,1.8,0
2023-03-19 00:14:33.543603,2.6,0
2023-03-19 00:14:43.743650,2.6,0
2023-03-19 00:14:53.942353,2.6,0
2023-03-19 00:15:04.139003,2.6,0
2023-03-19 00:15:14.341458,2.3,0
2023-03-19 00:15:24.524437,1.9,0
2023-03-19 00:15:34.722286,1,0
2023-03-19 00:15:44.928101,2.5,0
2023-03-19 00:15:55.135638,2.5,0
2023-03-19 00:16:05.337544,2.6,0
2023-03-19 00:16:15.557511,2.5,0
2023-03-19 00:16:25.723571,2.4,0
2023-03-19 00:16:35.926571,2.4,0
2023-03-19 00:16:46.091580,0.7,0
2023-03-19 00:16:56.260608,2.1,0
2023-03-19 00:17:06.468699,3,0
2023-03-19 00:17:16.729951,2.3,0
2023-03-19 00:17:26.938437,2.5,0
2023-03-19 00:17:37.146357,2.6,0
2023-03-19 00:17:47.326228,2.3,0
2023-03-19 00:17:57.505244,1.6,0
2023-03-19 00:18:07.755148,1.1,0
2023-03-19 00:18:17.967664,2.4,0
2023-03-19 00:18:28.180081,2.4,0
2023-03-19 00:18:38.378074,2.6,0
2023-03-19 00:18:48.589426,2.5,0
2023-03-19 00:18:58.789410,2.3,0
2023-03-19 00:19:08.971609,2.3,0
2023-03-19 00:19:19.158573,1,0
2023-03-19 00:19:29.342632,2,0
2023-03-19 00:19:39.559829,2.7,0
2023-03-19 00:19:49.774405,2.5,0
2023-03-19 00:19:59.990562,2.4,0
2023-03-19 00:20:10.195464,2.5,0
2023-03-19 00:20:20.447369,2.4,0
2023-03-19 00:20:30.638030,1.8,0
2023-03-19 00:20:40.816773,1.1,0
2023-03-19 00:20:51.025711,2.4,0
2023-03-19 00:21:01.256273,2.5,0
2023-03-19 00:21:11.489298,2.5,0
2023-03-19 00:21:21.707123,2.5,0
2023-03-19 00:21:31.899338,2.7,0
2023-03-19 00:21:42.140026,2.4,0
2023-03-19 00:21:52.320827,0.7,0
2023-03-19 00:22:02.499663,2.1,0
2023-03-19 00:22:12.715625,2.6,0
2023-03-19 00:22:22.935490,2.4,0
2023-03-19 00:22:33.137394,2.4,0
2023-03-19 00:22:43.412137,2.4,0
2023-03-19 00:22:53.592714,2.3,0
2023-03-19 00:23:03.784083,1.9,0
2023-03-19 00:23:14.149975,0.9,0
2023-03-19 00:23:24.361889,2.5,0
2023-03-19 00:23:34.616650,2.7,0
2023-03-19 00:23:44.925749,2.7,0
